Amount_Spent,Transaction_Type,Date,Gemini_Category
833.07,Mortgage,4/25/2024,Investments
673.79,Public Transport,4/28/2024,Transportation
421.97,Music Instrument Store,1/1/2024,Shopping
463.94,Video Game Store,12/15/2023,other
56.08,Legal Service,4/17/2024,Services
319.35,Doctor's Visit,9/3/2023,Health
596.6,Childcare Service,2/25/2024,Services
565.54,Concert Ticket,6/28/2024,Entertainment
673.87,Fast Food,7/8/2024,Food
426.19,Maintenance Fee,9/23/2023,Services
238.33,Childcare Service,7/23/2024,Services
170.56,Uber,7/14/2024,Transportation
468.0,Freelance Payment,3/7/2024,Services
166.23,Parking,4/23/2024,Transportation
751.31,Property Tax,12/7/2023,Home
890.27,Bakery,12/12/2023,Food
520.0,Florist,11/4/2023,Personal Care
530.34,Car Rental,5/22/2024,Transportation
74.11,Amazon,5/14/2024,Shopping
607.15,Freelance Payment,7/26/2024,Services
497.47,Amazon,9/23/2023,Shopping
920.65,Insurance Payment,7/15/2024,other
826.05,Consulting Fee,12/9/2023,Services
988.65,Courier Service,5/24/2024,Transportation
477.79,Freelance Payment,9/30/2023,Services
858.27,Spotify,4/27/2024,other
874.61,Utility Bill,3/28/2024,other
564.38,Online Course,9/9/2023,Entertainment
